Date,Open,High,Low,Close
27-May-2011,2019.84,2095.14,2019.84,2087.32,
30-May-2011,2090.29,2133.77,2090.29,2124.33,
31-May-2011,2124.33,2180.77,2124.33,2177.97,
1-June-2011,2182.57,2187.35,2151.36,2171.77,
2-June-2011,2156.92,2158.33,2128.38,2144.42,
3-June-2011,2142.79,2182.96,2121.93,2129.89,
6-June-2011,2124.24,2142.43,2108.66,2137.25,
7-June-2011,2133.99,2179.49,2130.18,2172.25,
8-June-2011,2172.99,2182.55,2141.95,2159.40,
9-June-2011,2159.11,2174.64,2145.48,2161.61,
10-June-2011,2163.09,2175.75,2131.75,2144.31,
13-June-2011,2141.63,2147.58,2116.04,2137.95,
14-June-2011,2140.48,2166.23,2140.48,2151.78,
15-June-2011,2154.02,2154.02,2115.73,2122.88,
16-June-2011,2111.71,2139.49,2090.61,2115.06,
17-June-2011,2118.03,2128.30,2096.31,2103.97,
20-June-2011,2107.24,2116.72,2011.93,2016.49,
21-June-2011,2020.36,2027.53,1972.90,1980.62,
22-June-2011,1984.79,1999.44,1931.42,1935.33,
23-June-2011,1933.24,1944.29,1900.75,1928.27,
24-June-2011,1935.12,2007.08,1927.53,2000.71,
27-June-2011,1996.25,2023.13,1977.97,1988.32,
28-June-2011,1991.90,1997.14,1963.71,1981.70,
29-June-2011,1985.73,2008.65,1978.44,1995.99,
30-June-2011,2001.90,2023.27,2001.90,2019.84,
1-July-2011,2026.19,2082.60,2026.19,2080.70,
4-July-2011,2088.82,2160.32,2088.82,2156.83,
5-July-2011,2153.43,2153.43,2119.41,2129.10,
6-July-2011,2125.26,2156.84,2122.87,2135.40,
7-July-2011,2139.68,2186.78,2139.68,2183.40,
8-July-2011,2189.30,2265.25,2183.10,2228.87,
11-July-2011,2223.41,2224.68,2164.68,2172.29,
12-July-2011,2167.87,2167.87,2098.36,2114.13,
13-July-2011,2117.86,2159.17,2117.86,2149.83,
14-July-2011,2144.61,2221.63,2137.38,2198.46,
15-July-2011,2208.93,2239.44,2174.64,2186.65,
18-July-2011,2186.80,2219.58,2182.11,2206.11,
19-July-2011,2202.09,2236.49,2175.88,2230.91,
20-July-2011,2234.64,2257.33,2220.35,2230.36,
21-July-2011,2233.78,2234.55,2191.10,2198.46,
22-July-2011,2205.02,2225.66,2190.87,2204.39,
25-July-2011,2202.00,2235.30,2188.72,2223.21,
26-July-2011,2226.19,2239.67,2139.93,2144.18,
27-July-2011,2143.14,2150.62,2106.15,2123.16,
28-July-2011,2115.41,2115.41,2072.76,2084.97,
29-July-2011,2080.80,2099.47,2029.10,2041.40,
1-August-2011,2049.44,2087.55,2041.32,2050.74,
2-August-2011,2044.93,2044.93,1994.85,2007.93,
3-August-2011,1981.85,1999.56,1936.27,1993.14,
4-August-2011,1996.27,2015.97,1946.30,1950.05,
5-August-2011,1934.70,1934.70,1829.27,1888.97,
8-August-2011,1866.54,1866.54,1789.79,1804.76,
9-August-2011,1784.06,1841.20,1735.91,1797.29,
10-August-2011,1815.53,1863.20,1815.53,1850.87,
11-August-2011,1844.35,1847.40,1816.43,1835.04,
12-August-2011,1841.70,1858.44,1803.57,1807.78,
16-August-2011,1814.15,1825.94,1700.88,1710.54,
17-August-2011,1700.12,1700.83,1628.65,1662.30,
18-August-2011,1659.98,1690.62,1654.88,1661.92,
19-August-2011,1652.36,1680.70,1634.10,1674.74,
22-August-2011,1680.82,1699.59,1654.95,1683.21,
23-August-2011,1687.27,1703.58,1677.83,1685.82,
24-August-2011,1689.29,1706.37,1659.06,1668.75,
25-August-2011,1670.63,1684.73,1652.01,1676.13,
26-August-2011,1674.39,1678.33,1602.40,1607.50,
29-August-2011,1615.75,1694.92,1615.75,1678.74,
30-August-2011,1691.48,1745.75,1691.48,1739.58,
2-September-2011,1726.99,1775.22,1713.82,1769.64,
5-September-2011,1752.56,1786.61,1739.01,1783.91,
6-September-2011,1775.66,1779.22,1712.89,1747.43,
7-September-2011,1753.94,1812.47,1753.94,1807.19,
8-September-2011,1809.79,1827.41,1797.40,1813.38,
9-September-2011,1815.99,1822.22,1772.06,1776.18,
12-September-2011,1766.49,1766.49,1716.31,1720.54,
13-September-2011,1726.04,1765.85,1711.20,1721.45,
14-September-2011,1725.21,1735.27,1701.31,1723.45,
15-September-2011,1727.65,1784.25,1727.65,1779.38,
16-September-2011,1786.33,1810.32,1770.63,1801.79,
19-September-2011,1792.67,1809.04,1771.34,1790.64,
20-September-2011,1790.93,1827.36,1788.89,1822.67,
21-September-2011,1824.84,1842.56,1817.16,1837.71,
22-September-2011,1825.84,1825.84,1726.29,1733.42,
23-September-2011,1721.84,1741.79,1686.84,1723.43,
26-September-2011,1725.46,1727.33,1671.34,1708.47,
27-September-2011,1721.79,1792.23,1721.79,1788.15,
28-September-2011,1787.72,1811.49,1762.31,1794.00,
29-September-2011,1782.27,1804.93,1764.18,1800.46,
30-September-2011,1792.64,1809.51,1754.11,1762.96,
3-October-2011,1750.95,1750.95,1675.85,1682.06,
4-October-2011,1671.21,1700.74,1650.06,1668.97,
5-October-2011,1676.78,1705.16,1673.93,1678.23,
7-October-2011,1701.24,1749.13,1701.24,1735.97,
10-October-2011,1725.85,1793.68,1723.19,1791.84,
11-October-2011,1794.30,1832.00,1779.37,1791.11,
12-October-2011,1793.42,1848.89,1788.09,1844.30,
13-October-2011,1845.45,1877.15,1837.96,1851.79,
14-October-2011,1841.67,1841.67,1811.31,1826.68,
17-October-2011,1825.53,1862.69,1825.53,1836.17,
18-October-2011,1820.70,1820.70,1780.16,1792.44,
19-October-2011,1802.13,1850.05,1802.13,1846.15,
20-October-2011,1832.12,1834.01,1797.36,1808.52,
21-October-2011,1788.41,1806.84,1766.42,1772.54,
24-October-2011,1781.07,1815.62,1781.07,1791.39,
25-October-2011,1797.75,1821.76,1773.24,1815.41,
26-October-2011,1816.56,1832.93,1816.56,1825.28,
28-October-2011,1841.48,1928.59,1841.48,1922.79,
31-October-2011,1918.16,1936.61,1903.38,1919.68,
1-November-2011,1908.10,1930.52,1870.91,1883.80,
2-November-2011,1870.07,1896.05,1862.65,1880.12,
3-November-2011,1874.62,1920.27,1863.07,1909.32,
4-November-2011,1920.46,1952.19,1917.90,1924.61,
8-November-2011,1922.30,1935.61,1882.08,1898.03,
9-November-2011,1899.62,1909.59,1843.09,1851.05,
11-November-2011,1839.04,1839.04,1793.89,1809.53,
14-November-2011,1821.61,1844.06,1759.13,1763.29,
15-November-2011,1764.89,1764.89,1666.94,1671.28,
16-November-2011,1666.19,1689.55,1640.26,1673.22,
17-November-2011,1678.90,1695.73,1628.86,1633.10,
18-November-2011,1627.57,1627.57,1577.30,1607.07,
21-November-2011,1603.00,1612.75,1551.94,1558.23,
22-November-2011,1562.01,1580.85,1553.00,1563.52,
23-November-2011,1555.52,1573.64,1534.84,1538.20,
24-November-2011,1542.85,1563.44,1508.05,1558.74,
25-November-2011,1553.35,1619.35,1544.07,1579.30,
28-November-2011,1592.54,1630.30,1592.54,1623.35,
29-November-2011,1628.00,1632.68,1579.59,1585.65,
30-November-2011,1579.98,1583.91,1552.26,1571.16,
1-December-2011,1594.15,1632.84,1594.15,1626.74,
2-December-2011,1619.90,1661.17,1614.87,1656.91,
5-December-2011,1660.12,1672.48,1637.21,1648.56,
7-December-2011,1652.35,1671.71,1649.01,1661.18,
8-December-2011,1658.50,1659.94,1595.03,1598.04,
9-December-2011,1579.56,1590.88,1554.98,1577.13,
12-December-2011,1586.50,1597.76,1530.55,1535.07,
13-December-2011,1526.97,1552.77,1519.51,1542.44,
14-December-2011,1541.49,1549.91,1502.17,1505.13,
15-December-2011,1501.80,1504.34,1468.94,1497.38,
16-December-2011,1508.66,1525.54,1438.50,1447.43,
19-December-2011,1444.57,1444.57,1384.71,1405.53,
20-December-2011,1412.04,1417.46,1362.23,1367.39,
21-December-2011,1387.25,1398.25,1359.84,1385.68,
22-December-2011,1374.72,1431.70,1365.63,1426.00,
23-December-2011,1430.44,1455.30,1416.01,1427.68,
26-December-2011,1431.02,1454.03,1431.02,1450.45,
27-December-2011,1450.93,1459.10,1419.40,1425.45,
28-December-2011,1423.54,1423.96,1395.76,1414.44,
29-December-2011,1417.30,1419.86,1385.11,1391.01,
30-December-2011,1393.40,1408.07,1367.85,1375.65,
2-January-2012,1378.35,1382.79,1347.79,1370.23,
3-January-2012,1380.87,1432.65,1380.87,1428.90,
4-January-2012,1427.63,1438.87,1413.32,1424.25,
5-January-2012,1420.12,1430.33,1391.52,1400.80,
6-January-2012,1397.31,1402.40,1378.44,1388.61,
7-January-2012,1390.19,1399.39,1389.16,1398.60,
9-January-2012,1398.60,1424.48,1380.90,1419.34,
10-January-2012,1423.08,1489.93,1423.08,1478.98,
11-January-2012,1484.51,1559.07,1480.87,1547.59,
12-January-2012,1547.59,1581.22,1536.34,1548.89,
13-January-2012,1554.25,1604.44,1554.25,1581.78,
16-January-2012,1573.33,1579.12,1554.62,1573.58,
17-January-2012,1576.02,1646.06,1576.02,1627.97,
18-January-2012,1633.50,1651.02,1621.11,1637.96,
19-January-2012,1649.50,1701.34,1649.50,1695.89,
20-January-2012,1705.64,1726.06,1692.25,1707.79,
23-January-2012,1711.21,1727.82,1696.70,1721.76,
24-January-2012,1721.76,1770.86,1697.11,1741.41,
25-January-2012,1742.06,1760.59,1738.54,1741.62,
27-January-2012,1747.47,1767.37,1699.69,1702.98,
30-January-2012,1697.45,1707.18,1642.29,1650.21,
31-January-2012,1654.92,1712.61,1654.92,1708.05,
1-February-2012,1705.13,1737.52,1679.91,1725.11,
2-February-2012,1733.72,1761.53,1685.98,1746.69,
3-February-2012,1747.50,1792.41,1736.87,1784.17,
6-February-2012,1796.20,1870.31,1796.20,1854.89,
7-February-2012,1861.88,1868.45,1810.18,1816.01,
8-February-2012,1819.43,1883.43,1819.43,1868.89,
9-February-2012,1857.67,1915.96,1857.67,1905.25,
10-February-2012,1912.88,1914.95,1863.84,1887.49,
13-February-2012,1873.53,1900.96,1845.17,1890.49,
14-February-2012,1888.61,1937.56,1884.17,1933.77,
15-February-2012,1946.95,2034.34,1946.95,2030.73,
16-February-2012,2021.94,2075.19,2005.76,2061.90,
17-February-2012,2082.46,2121.86,2067.79,2079.72,
21-February-2012,2079.25,2173.85,2078.49,2169.96,
22-February-2012,2170.90,2212.31,2004.41,2023.10,
23-February-2012,2023.37,2040.17,1937.16,1973.40,
24-February-2012,1986.15,2013.23,1914.03,1928.46,
27-February-2012,1918.13,1918.13,1818.11,1826.45,
28-February-2012,1847.79,1939.15,1847.79,1934.37,
29-February-2012,1961.48,1999.05,1928.79,1955.60,
1-March-2012,1943.58,1943.58,1822.75,1891.17,
2-March-2012,1871.46,1878.88,1833.73,1845.98,
3-March-2012,1838.01,1848.58,1835.83,1839.00,
5-March-2012,1829.00,1829.99,1773.58,1779.07,
6-March-2012,1754.86,1850.73,1741.01,1761.81,
7-March-2012,1757.44,1788.83,1735.80,1777.69,
9-March-2012,1813.76,1836.95,1813.76,1826.15,
12-March-2012,1839.41,1864.56,1827.77,1850.45,
13-March-2012,1869.50,1898.37,1869.50,1889.43,
14-March-2012,1914.95,1914.95,1864.50,1871.20,
15-March-2012,1860.76,1860.76,1811.27,1821.35,
16-March-2012,1829.53,1860.30,1791.59,1798.33,
19-March-2012,1802.91,1810.24,1738.33,1752.25,
20-March-2012,1759.27,1786.86,1752.32,1777.50,
21-March-2012,1766.29,1846.70,1765.37,1840.37,
22-March-2012,1832.97,1857.09,1756.52,1762.22,
23-March-2012,1774.53,1802.35,1761.69,1790.51,
26-March-2012,1783.15,1787.85,1722.88,1726.42,
27-March-2012,1754.33,1768.17,1738.99,1753.38,
28-March-2012,1744.42,1744.42,1719.85,1725.77,
29-March-2012,1696.02,1738.64,1696.02,1731.84,
30-March-2012,1751.44,1780.67,1751.44,1776.96,
2-April-2012,1778.46,1816.75,1778.46,1805.19,
3-April-2012,1824.36,1836.78,1818.30,1822.29,
4-April-2012,1809.73,1811.40,1777.80,1797.62,
9-April-2012,1779.43,1807.92,1777.07,1787.80,
10-April-2012,1794.49,1806.09,1777.96,1790.99,
11-April-2012,1776.46,1805.45,1770.99,1777.21,
12-April-2012,1784.95,1803.52,1765.61,1780.36,
13-April-2012,1789.22,1812.34,1757.59,1763.86,
16-April-2012,1762.16,1792.96,1762.16,1781.47,
17-April-2012,1786.81,1825.35,1775.87,1824.33,
18-April-2012,1842.66,1854.11,1799.19,1806.64,
19-April-2012,1807.60,1814.40,1789.84,1800.77,
20-April-2012,1791.90,1810.15,1760.70,1770.58,
23-April-2012,1759.89,1771.67,1711.24,1714.46,
24-April-2012,1718.54,1725.86,1701.62,1714.57,
25-April-2012,1707.73,1718.88,1678.11,1691.74,
26-April-2012,1696.17,1703.48,1673.00,1676.69,
27-April-2012,1674.45,1692.78,1634.08,1662.78,
28-April-2012,1665.48,1682.56,1660.87,1675.15,
30-April-2012,1684.01,1712.71,1676.68,1692.57,
2-May-2012,1703.17,1710.73,1687.19,1693.29,
3-May-2012,1679.88,1687.02,1660.60,1669.07,
4-May-2012,1657.59,1659.50,1615.35,1627.99,
7-May-2012,1601.82,1645.18,1572.70,1639.02,
8-May-2012,1649.99,1662.70,1607.08,1617.40,
9-May-2012,1603.37,1606.15,1564.68,1569.11,
10-May-2012,1577.54,1591.57,1556.76,1567.34,
11-May-2012,1562.33,1578.14,1539.22,1561.73,
14-May-2012,1566.25,1575.23,1530.82,1541.89,
15-May-2012,1536.23,1562.45,1524.90,1555.59,
16-May-2012,1530.64,1560.18,1515.64,1544.83,
17-May-2012,1560.12,1577.04,1546.84,1558.63,
18-May-2012,1538.73,1562.60,1530.79,1556.48,
21-May-2012,1571.30,1590.26,1570.84,1586.10,
22-May-2012,1602.10,1606.00,1562.39,1566.66,
23-May-2012,1562.39,1574.89,1546.48,1553.20,
24-May-2012,1558.12,1568.30,1532.52,1563.88,
25-May-2012,1566.19,1579.87,1557.43,1572.27,
28-May-2012,1580.39,1592.40,1565.04,1588.29,
29-May-2012,1599.54,1615.25,1583.56,1598.14,
30-May-2012,1588.99,1589.06,1557.46,1563.26,
31-May-2012,1546.88,1587.07,1542.03,1578.90,
1-June-2012,1578.93,1584.49,1551.61,1552.70,
4-June-2012,1541.10,1579.23,1500.99,1573.73,
5-June-2012,1583.19,1583.19,1549.75,1552.17,
6-June-2012,1568.09,1597.42,1566.35,1593.31,
7-June-2012,1606.87,1631.49,1595.37,1628.14,
8-June-2012,1623.14,1655.47,1612.80,1650.86,
11-June-2012,1667.30,1692.12,1627.81,1634.00,
12-June-2012,1623.89,1669.99,1618.87,1666.83,
13-June-2012,1677.32,1677.32,1638.94,1642.30,
14-June-2012,1642.32,1648.04,1591.89,1594.44,
15-June-2012,1604.79,1626.64,1602.82,1622.86,
18-June-2012,1643.39,1656.60,1570.94,1577.78,
19-June-2012,1573.66,1583.95,1553.10,1579.82,
20-June-2012,1579.96,1586.86,1569.36,1578.66,
21-June-2012,1571.69,1628.16,1571.40,1624.26,
22-June-2012,1608.56,1636.06,1601.34,1630.87,
25-June-2012,1643.82,1660.71,1614.78,1619.21,
26-June-2012,1624.49,1632.18,1614.77,1624.95,
27-June-2012,1631.82,1643.15,1625.61,1629.57,
28-June-2012,1636.35,1640.26,1620.86,1627.72,
29-June-2012,1643.81,1673.79,1643.81,1667.87,
2-July-2012,1674.27,1717.47,1667.32,1706.61,
3-July-2012,1719.28,1742.36,1716.37,1740.14,
4-July-2012,1747.10,1777.85,1744.21,1773.34,
5-July-2012,1770.22,1778.22,1761.78,1765.80,
6-July-2012,1760.05,1764.85,1736.44,1744.57,
9-July-2012,1741.61,1745.45,1707.30,1726.20,
10-July-2012,1732.47,1755.45,1731.28,1751.40,
11-July-2012,1742.63,1746.61,1727.34,1732.75,
12-July-2012,1713.46,1756.59,1700.90,1749.10,
13-July-2012,1758.04,1762.08,1718.18,1725.21,
16-July-2012,1730.29,1735.86,1690.27,1697.50,
17-July-2012,1709.60,1718.97,1672.14,1676.48,
18-July-2012,1676.00,1697.60,1656.27,1692.01,
19-July-2012,1706.61,1716.41,1695.75,1698.57,
20-July-2012,1695.14,1697.43,1677.64,1681.82,
23-July-2012,1661.26,1665.24,1630.72,1633.56,
24-July-2012,1637.75,1644.31,1622.65,1634.50,
25-July-2012,1621.91,1641.07,1608.22,1632.20,
26-July-2012,1636.43,1638.58,1573.26,1582.12,
27-July-2012,1594.75,1617.01,1560.09,1569.56,
30-July-2012,1578.40,1622.69,1577.37,1618.69,
31-July-2012,1626.99,1640.97,1598.98,1637.64,
1-August-2012,1637.72,1663.15,1631.82,1651.97,
2-August-2012,1652.09,1663.73,1642.49,1647.63,
3-August-2012,1634.40,1644.50,1614.73,1638.34,
6-August-2012,1643.80,1670.74,1641.29,1658.65,
7-August-2012,1659.56,1693.96,1659.56,1684.03,
8-August-2012,1693.16,1694.49,1645.15,1650.15,
9-August-2012,1658.10,1667.33,1635.00,1645.32,
10-August-2012,1638.46,1646.21,1625.87,1634.29,
13-August-2012,1634.99,1677.63,1633.59,1673.62,
14-August-2012,1695.64,1695.64,1649.69,1661.38,
16-August-2012,1666.39,1675.35,1657.34,1661.27,
17-August-2012,1660.79,1666.11,1624.39,1632.85,
21-August-2012,1633.96,1655.34,1633.96,1652.77,
22-August-2012,1643.64,1651.55,1632.15,1636.67,
23-August-2012,1640.38,1645.85,1622.84,1631.89,
24-August-2012,1623.96,1628.69,1587.86,1590.52,
27-August-2012,1590.98,1594.47,1547.90,1551.97,
28-August-2012,1547.97,1556.15,1528.09,1545.29,
29-August-2012,1556.06,1556.72,1493.30,1497.74,
30-August-2012,1490.04,1529.00,1483.83,1525.09,
31-August-2012,1518.06,1531.08,1495.65,1510.91,
3-September-2012,1515.80,1524.94,1493.31,1497.89,
4-September-2012,1499.36,1525.69,1498.49,1521.67,
5-September-2012,1511.77,1530.42,1502.49,1507.03,
6-September-2012,1500.82,1522.08,1499.19,1506.39,
7-September-2012,1530.48,1551.14,1526.57,1547.02,
8-September-2012,1550.10,1553.89,1544.36,1551.99,
10-September-2012,1553.82,1557.50,1534.99,1539.90,
11-September-2012,1532.02,1555.75,1528.19,1554.30,
12-September-2012,1563.71,1570.65,1549.73,1566.87,
13-September-2012,1567.95,1573.02,1553.80,1558.60,
14-September-2012,1580.81,1636.85,1580.81,1633.05,
17-September-2012,1649.18,1739.73,1649.18,1734.50,
18-September-2012,1729.41,1749.55,1727.02,1742.96,
20-September-2012,1731.74,1755.30,1701.00,1738.32,
21-September-2012,1752.10,1797.38,1748.68,1777.44,
24-September-2012,1776.14,1836.77,1776.14,1803.20,
25-September-2012,1808.42,1859.77,1782.26,1840.77,
26-September-2012,1832.72,1876.86,1819.20,1846.15,
27-September-2012,1857.68,1862.26,1843.26,1853.93,
28-September-2012,1870.59,1902.42,1842.87,1847.00,
1-October-2012,1854.31,1857.32,1828.18,1849.80,
3-October-2012,1857.66,1862.59,1838.28,1852.83,
4-October-2012,1862.78,1951.92,1862.78,1944.41,
5-October-2012,1963.10,1973.51,1886.61,1949.58,
8-October-2012,1930.56,1943.51,1873.74,1881.40,
9-October-2012,1884.80,1901.17,1866.53,1890.36,
10-October-2012,1866.50,1866.50,1797.91,1803.17,
11-October-2012,1807.07,1891.54,1807.07,1886.30,
12-October-2012,1883.69,1917.04,1863.04,1869.65,
15-October-2012,1867.51,1889.42,1862.26,1879.45,
16-October-2012,1892.11,1899.10,1814.86,1822.14,
17-October-2012,1832.48,1850.92,1799.53,1810.79,
18-October-2012,1824.48,1861.04,1812.90,1857.49,
19-October-2012,1847.55,1865.22,1828.60,1844.15,
22-October-2012,1831.73,1854.09,1819.88,1847.60,
23-October-2012,1848.72,1865.51,1839.15,1841.62,
25-October-2012,1840.95,1852.61,1790.75,1816.73,
26-October-2012,1811.60,1826.97,1791.90,1800.33,
29-October-2012,1804.19,1814.30,1776.81,1787.36,
30-October-2012,1788.53,1804.23,1736.84,1746.63,
31-October-2012,1746.13,1774.95,1729.86,1771.62,
1-November-2012,1775.98,1805.79,1765.23,1803.39,
2-November-2012,1818.21,1831.66,1807.43,1812.78,
5-November-2012,1817.98,1820.87,1801.12,1810.59,
6-November-2012,1808.81,1849.42,1807.56,1847.66,
7-November-2012,1847.34,1902.79,1847.34,1898.71,
8-November-2012,1878.62,1942.33,1871.39,1937.30,
9-November-2012,1940.94,1959.69,1897.73,1905.44,
12-November-2012,1903.51,1927.76,1894.40,1922.02,
13-November-2012,1921.25,1931.43,1906.15,1917.12,
15-November-2012,1901.56,1961.47,1893.49,1954.82,
16-November-2012,1955.12,1976.71,1874.82,1889.23,
19-November-2012,1892.81,1908.55,1875.40,1889.57,
20-November-2012,1901.76,1910.53,1827.26,1832.50,
21-November-2012,1837.54,1884.32,1823.94,1877.82,
22-November-2012,1888.39,1904.23,1862.66,1880.04,
23-November-2012,1881.96,1885.92,1857.82,1869.11,
26-November-2012,1859.65,1892.21,1859.65,1876.97,
27-November-2012,1887.25,1950.62,1886.80,1937.04,
29-November-2012,1946.17,2008.98,1946.17,2002.45,
30-November-2012,2017.54,2025.76,1987.90,1998.36,
3-December-2012,2008.57,2037.09,1997.01,2025.30,
4-December-2012,2024.32,2056.31,2017.05,2042.35,
5-December-2012,2057.44,2112.52,2057.28,2099.84,
6-December-2012,2110.11,2140.66,2080.44,2137.83,
7-December-2012,2146.28,2154.57,2091.51,2101.86,
10-December-2012,2108.36,2140.00,2099.24,2124.93,
11-December-2012,2133.21,2150.33,2060.19,2083.28,
12-December-2012,2089.24,2105.97,2069.62,2080.14,
13-December-2012,2083.18,2107.52,2043.51,2046.54,
14-December-2012,2054.20,2080.92,2049.30,2067.24,
17-December-2012,2069.47,2087.04,2065.99,2071.45,
18-December-2012,2080.04,2124.21,2047.90,2120.67,
19-December-2012,2131.42,2164.85,2124.51,2133.13,
20-December-2012,2122.52,2137.12,2093.37,2123.08,
21-December-2012,2108.36,2116.71,2041.13,2048.55,
24-December-2012,2057.30,2073.18,2053.52,2067.09,
26-December-2012,2075.67,2103.77,2075.05,2092.37,
27-December-2012,2098.57,2109.54,2082.39,2085.61,
28-December-2012,2091.98,2104.38,2075.86,2089.91,
31-December-2012,2089.43,2124.56,2089.04,2110.80,
1-January-2013,2128.52,2172.76,2127.59,2168.74,
